episode,reward
0,0.94625
100,0.91875
200,1.0345
300,0.964
400,1.001
500,0.83525
600,0.9165
700,1.04925
800,0.79425
900,1.059
1000,0.97425
1100,0.895
1200,0.90775
1300,0.97675
1400,0.901
1500,0.9535
1600,0.9195
1700,1.01175
1800,0.81025
1900,1.04
2000,0.898
2100,0.763
2200,0.81175
2300,0.88725
2400,0.8965
2500,0.75775
2600,0.90975
2700,0.83025
2800,0.893
2900,0.8745
3000,0.78725
3100,0.9435
3200,0.9895
3300,0.904
3400,0.637
3500,1.1235
3600,0.8205
3700,0.95575
3800,0.78375
3900,0.8605
4000,0.9015
4100,0.60325
4200,0.9865
4300,1.0245
4400,0.9425
4500,0.991
4600,0.91275
4700,0.978
4800,0.74575
4900,1.0295
