episode,reward
0,1.53375
100,1.5705
200,1.518
300,1.51775
400,1.5985
500,1.50775
600,1.46225
700,1.44775
800,1.62125
900,1.44175
1000,1.57675
1100,1.325
1200,1.2355
1300,1.42125
1400,1.40575
1500,1.64975
1600,1.40975
1700,1.27625
1800,1.35675
1900,1.37575
2000,1.3715
2100,1.47125
2200,1.4775
2300,1.496
2400,1.42475
2500,1.59
2600,1.5955
2700,1.43575
2800,1.402
2900,1.5245
3000,1.48075
3100,1.4995
3200,1.43
3300,1.32925
3400,1.5205
3500,1.494
3600,1.62675
3700,1.48025
3800,1.50375
3900,1.46175
4000,1.54
4100,1.28925
4200,1.5025
4300,1.5065
4400,1.37375
4500,1.688
4600,1.5155
4700,1.4315
4800,1.558
4900,1.61075
