episode,reward
0,0.428
100,0.51175
200,0.481
300,0.4875
400,0.444
500,0.29225
600,0.35325
700,0.40725
800,0.41275
900,0.63525
1000,0.46625
1100,0.347
1200,0.533
1300,0.24125
1400,0.51675
1500,0.54625
1600,0.26825
1700,0.09825
1800,0.43375
1900,0.43375
2000,0.474
2100,0.4975
2200,0.32125
2300,0.54825
2400,0.684
2500,0.46275
2600,0.4575
2700,0.39675
2800,0.66875
2900,0.4995
3000,0.4475
3100,0.21775
3200,0.641
3300,0.48025
3400,0.58825
3500,0.328
3600,0.5775
3700,0.51325
3800,0.55875
3900,0.55
4000,0.46225
4100,0.35875
4200,0.51675
4300,0.5415
4400,0.41125
4500,0.37575
4600,0.42375
4700,0.41875
4800,0.60875
4900,0.417
