episode,reward
0,0.75525
100,0.75
200,0.64075
300,0.758
400,0.614
500,0.61775
600,0.6585
700,0.45175
800,0.7715
900,0.537
1000,0.6425
1100,0.85325
1200,0.9195
1300,0.96275
1400,0.832
1500,0.634
1600,0.73875
1700,0.843
1800,0.73225
1900,0.662
2000,0.805
2100,0.6895
2200,0.527
2300,0.86925
2400,0.65825
2500,0.69625
2600,0.67225
2700,0.827
2800,0.497
2900,0.7735
3000,0.475
3100,0.759
3200,0.517
3300,0.327
3400,0.718
3500,0.6085
3600,0.6985
3700,0.8555
3800,0.6275
3900,0.63125
4000,0.58225
4100,0.622
4200,0.626
4300,0.6735
4400,0.72975
4500,0.58
4600,0.651
4700,0.7725
4800,0.54225
4900,0.7105
