episode,reward
0,2.08875
100,2.1685
200,1.99575
300,1.98275
400,1.97875
500,1.9525
600,1.953
700,2.064
800,1.97825
900,2.284
1000,2.0285
1100,2.10275
1200,1.99875
1300,2.00975
1400,1.97325
1500,2.07975
1600,1.98775
1700,2.0105
1800,1.9485
1900,1.95525
2000,1.89
2100,2.05625
2200,1.95825
2300,2.05575
2400,1.97075
2500,1.95425
2600,2.123
2700,2.13725
2800,2.1885
2900,2.03225
3000,2.1185
3100,2.112
3200,2.06875
3300,2.127
3400,2.3525
3500,2.1095
3600,2.2715
3700,2.255
3800,2.13475
3900,2.15375
4000,2.14675
4100,2.11975
4200,2.38375
4300,2.25175
4400,2.3745
4500,2.501
4600,2.29625
4700,2.37575
4800,2.37475
4900,2.29075
