episode,reward
0,1.14825
100,1.20975
200,1.2485
300,1.32225
400,1.249
500,1.13325
600,1.32875
700,1.0675
800,1.3925
900,1.3275
1000,1.0965
1100,1.22425
1200,1.20975
1300,1.198
1400,1.25825
1500,1.20075
1600,1.2575
1700,1.406
1800,1.08925
1900,1.30425
2000,1.42625
2100,1.01025
2200,1.2865
2300,1.22575
2400,1.161
2500,1.436
2600,1.42075
2700,1.242
2800,1.2185
2900,1.4055
3000,1.27425
3100,1.36925
3200,1.257
3300,1.354
3400,1.15
3500,1.21225
3600,1.37
3700,1.5325
3800,1.087
3900,1.273
4000,1.53875
4100,1.142
4200,1.25575
4300,1.2935
4400,1.39375
4500,1.2515
4600,1.2385
4700,1.228
4800,1.178
4900,1.27625
