episode,reward
0,1.9965
100,2.13125
200,1.99175
300,2.0345
400,1.8735
500,2.215
600,1.98325
700,1.9625
800,1.867
900,2.019
1000,1.94225
1100,1.8285
1200,2.11925
1300,2.03375
1400,2.20825
1500,2.1295
1600,1.883
1700,2.16325
1800,2.0375
1900,1.99525
2000,1.96225
2100,2.1485
2200,1.95125
2300,1.9285
2400,2.0425
2500,1.99225
2600,1.9835
2700,1.99775
2800,2.17425
2900,1.99125
3000,2.03225
3100,2.1355
3200,1.89225
3300,1.9615
3400,1.96575
3500,2.07125
3600,2.146
3700,2.1055
3800,2.0455
3900,2.04
4000,2.15975
4100,2.21125
4200,2.04775
4300,1.99725
4400,2.049
4500,2.10675
4600,1.9685
4700,2.0965
4800,2.0545
4900,2.012
