episode,reward
0,1.178
100,1.10175
200,1.0285
300,1.1615
400,1.054
500,1.25
600,0.97525
700,1.15325
800,1.146
900,1.17325
1000,1.20425
1100,1.14875
1200,1.0925
1300,1.00325
1400,1.15625
1500,0.96025
1600,1.216
1700,1.042
1800,1.23425
1900,1.18225
2000,1.06
2100,1.069
2200,1.15325
2300,1.18925
2400,1.0755
2500,1.062
2600,1.23425
2700,1.07075
2800,0.97325
2900,0.941
3000,1.04725
3100,1.13675
3200,1.1315
3300,1.03875
3400,1.07825
3500,0.98125
3600,1.0565
3700,1.16375
3800,1.20675
3900,1.05575
4000,1.13025
4100,1.2595
4200,1.0445
4300,1.14475
4400,0.95675
4500,1.1645
4600,1.05525
4700,1.20775
4800,1.205
4900,1.166
