episode,reward
0,1.56125
100,1.63
200,1.71475
300,1.64525
400,1.7095
500,1.60675
600,1.43975
700,1.761
800,1.7075
900,1.792
1000,1.6975
1100,1.746
1200,1.5925
1300,1.76125
1400,1.7475
1500,1.83525
1600,1.638
1700,1.67575
1800,1.6805
1900,1.575
2000,1.8545
2100,1.71925
2200,1.86275
2300,1.6695
2400,1.85525
2500,1.62875
2600,1.5855
2700,1.60875
2800,1.48175
2900,1.644
3000,1.73725
3100,1.67325
3200,1.6975
3300,1.6185
3400,1.658
3500,1.67075
3600,1.7295
3700,1.711
3800,1.7255
3900,1.7285
4000,1.60125
4100,1.6755
4200,1.62
4300,1.65075
4400,1.695
4500,1.706
4600,1.64525
4700,1.50425
4800,1.76025
4900,1.731
