episode,reward
0,2.0345
100,2.13025
200,1.9835
300,1.80825
400,1.7865
500,1.9095
600,2.025
700,2.00225
800,1.97625
900,1.9855
1000,1.735
1100,1.9155
1200,1.90225
1300,1.81775
1400,1.668
1500,1.827
1600,1.86275
1700,1.97
1800,1.87625
1900,1.95725
2000,1.798
2100,1.83025
2200,1.961
2300,1.8745
2400,1.99425
2500,2.025
2600,1.9955
2700,1.81575
2800,1.959
2900,1.791
3000,1.8185
3100,1.94625
3200,1.998
3300,1.8795
3400,1.944
3500,1.90475
3600,1.84
3700,1.8865
3800,1.75025
3900,1.77875
4000,1.92125
4100,1.69175
4200,1.76825
4300,1.8425
4400,1.756
4500,1.93475
4600,1.81225
4700,1.90125
4800,1.8665
4900,1.8405
